"Gene","Non-unique gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_2545","","hypothetical protein","45","131","31","3","59.2105263158","2.23880597015","0.0332430435853","4.28489826379e-13","2.55208540591e-09","4.47686317386e-11"
"group_7908","","hypothetical protein","25","0","51","134","32.8947368421","100.0","inf","4.73543284004e-13","2.82042379953e-09","4.47686317386e-11"
"group_462","yiaC","Peptidyl-lysine N-acetyltransferase YiaC","25","0","51","134","32.8947368421","100.0","inf","4.73543284004e-13","2.82042379953e-09","4.47686317386e-11"
"group_12426","lexA_3","LexA repressor","25","0","51","134","32.8947368421","100.0","inf","4.73543284004e-13","2.82042379953e-09","4.47686317386e-11"
"group_2119","","hypothetical protein","51","134","25","0","67.1052631579","0.0","0.0","4.73543284004e-13","2.82042379953e-09","4.47686317386e-11"
"group_5159-group_3440","","Merged genes","25","0","51","134","32.8947368421","100.0","inf","4.73543284004e-13","2.82042379953e-09","4.47686317386e-11"
"group_2501","","hypothetical protein","29","2","47","132","38.1578947368","98.5074626866","40.7234042553","6.52389524065e-13","3.88563200533e-09","5.8873212202e-11"
"group_1831","","hypothetical protein","47","132","29","2","61.8421052632","1.49253731343","0.0245559038662","6.52389524065e-13","3.88563200533e-09","5.8873212202e-11"
"group_326","","hypothetical protein","47","132","29","2","61.8421052632","1.49253731343","0.0245559038662","6.52389524065e-13","3.88563200533e-09","5.8873212202e-11"
"asrA_2-macB_1-asrB_2-macB_2-yknX","","Merged genes","49","133","27","1","64.4736842105","0.746268656716","0.0136452241715","7.36812678972e-13","4.38845631596e-09","5.98314345844e-11"
"apbE_1-group_4466-group_4467","","Merged genes","40","127","36","7","52.6315789474","5.22388059701","0.0612423447069","7.4337242432e-13","4.42752615925e-09","5.98314345844e-11"
"group_2561","","hypothetical protein","44","130","32","4","57.8947368421","2.98507462687","0.0423076923077","8.14566938996e-13","4.85156068866e-09","6.38363248508e-11"
"gadC_2","","Glutamate/gamma-aminobutyrate antiporter","44","130","32","4","57.8947368421","2.98507462687","0.0423076923077","8.14566938996e-13","4.85156068866e-09","6.38363248508e-11"
"punA_1","","Purine nucleoside phosphorylase 1","39","126","37","8","51.3157894737","5.97014925373","0.0669240669241","9.16526742141e-13","5.45883327619e-09","7.08939386519e-11"
"group_2971","","hypothetical protein","37","124","39","10","48.6842105263","7.46268656716","0.0765095119934","1.15279776347e-12","6.8660634792e-09","8.80264548615e-11"
"group_1035","","hypothetical protein","24","0","52","134","31.5789473684","100.0","inf","1.69382790048e-12","1.00884389752e-08","1.2770175918e-10"
"group_640","","hypothetical protein","28","2","48","132","36.8421052632","98.5074626866","38.5","2.29166695804e-12","1.36491684021e-08","1.70614605026e-10"
"group_12351","","hypothetical protein","38","124","38","10","50.0","7.46268656716","0.0806451612903","3.92790836449e-12","2.33946222189e-08","2.88822496529e-10"
"group_6435","","hypothetical protein","32","5","44","129","42.1052631579","96.2686567164","18.7636363636","4.55285842944e-12","2.71168248057e-08","3.22819342926e-10"
"yqjA","","Inner membrane protein YqjA","44","129","32","5","57.8947368421","3.73134328358","0.0532945736434","4.55285842944e-12","2.71168248057e-08","3.22819342926e-10"
"group_4936","gadC_2","Glutamate/gamma-aminobutyrate antiporter","32","5","44","129","42.1052631579","96.2686567164","18.7636363636","4.55285842944e-12","2.71168248057e-08","3.22819342926e-10"
"group_3598","","hypothetical protein","54","30","22","104","71.0526315789","77.6119402985","8.50909090909","5.03223971442e-12","2.99720197391e-08","3.5261199693e-10"
"group_7016","","hypothetical protein","23","0","53","134","30.2631578947","100.0","inf","5.97633617715e-12","3.55950582711e-08","4.06755614556e-10"
"group_12888","","hypothetical protein","23","0","53","134","30.2631578947","100.0","inf","5.97633617715e-12","3.55950582711e-08","4.06755614556e-10"
"group_3042","","hypothetical protein","24","107","52","27","31.5789473684","20.1492537313","0.116462976276","6.00982103441e-12","3.57944940809e-08","4.06755614556e-10"
"asrC_2","","Anaerobic sulfite reductase subunit C","49","132","27","2","64.4736842105","1.49253731343","0.0274971941639","7.91204673166e-12","4.71241503337e-08","5.29484835211e-10"
"tenA","","Aminopyrimidine aminohydrolase","42","127","34","7","55.2631578947","5.22388059701","0.0680870773506","8.60905490776e-12","5.12755310306e-08","5.69728122563e-10"
"group_373","","hypothetical protein","39","124","37","10","51.3157894737","7.46268656716","0.0850043591979","1.30537528409e-11","7.77481519206e-08","8.45088607832e-10"
"group_1330","","hypothetical protein","39","124","37","10","51.3157894737","7.46268656716","0.0850043591979","1.30537528409e-11","7.77481519206e-08","8.45088607832e-10"
"group_4579-group_6436","","Merged genes","31","5","45","129","40.7894736842","96.2686567164","17.7733333333","1.52692940354e-11","9.09439152747e-08","9.67488460369e-10"
"group_1963","","hypothetical protein","48","131","28","3","63.1578947368","2.23880597015","0.0392584514722","1.75915896751e-11","1.04775508105e-07","1.10290008532e-09"
"group_1438","","hypothetical protein","38","123","38","11","50.0","8.20895522388","0.0894308943089","1.85891326871e-11","1.10716874285e-07","1.1533007738e-09"
"group_1410","rhaS_2","HTH-type transcriptional activator RhaS","22","0","54","134","28.9473684211","100.0","inf","2.08065037279e-11","1.23923536203e-07","1.2775622289e-09"
"group_21","","IS200/IS605 family transposase ISCpe4","26","2","50","132","34.2105263158","98.5074626866","34.32","2.68546646307e-11","1.59946382541e-07","1.62588176642e-09"
"group_10057-group_13110","","Merged genes","10","79","66","55","13.1578947368","41.0447761194","0.105485232068","2.72982163602e-11","1.62588176642e-07","1.62588176642e-09"
"group_22","","IS200/IS605 family transposase ISCpe4","33","7","43","127","43.4210526316","94.776119403","13.9235880399","2.83290302775e-11","1.68727704333e-07","1.65419317973e-09"
"group_766","","hypothetical protein","43","127","33","7","56.5789473684","5.22388059701","0.0718205678836","2.83290302775e-11","1.68727704333e-07","1.65419317973e-09"
"group_1201","","hypothetical protein","47","130","29","4","61.8421052632","2.98507462687","0.0498673740053","3.19384999531e-11","1.9022570572e-07","1.84685151185e-09"
"group_1437","","hypothetical protein","34","8","42","126","44.7368421053","94.0298507463","12.75","3.43237861036e-11","2.04432470033e-07","1.96569682724e-09"
